codigo_postal,tipo,localidad,precio(mxn_peso),habitaciones,baños,area(m2)
21378,Colonia,Sombras Jery,5100000,3,2,207
21387,Colonia,Rivera Campestre,2150000,2,1,116
21230,Colonia,Justo Sierra,4800000,3,2,165
21180,Fraccionamiento,Villafontana,7250000,3,3,250
21188,Colonia,Solidaridad Virreyes,3600000,4,3,177
21350,Colonia,Conjunto Urbano Esperanza,3750000,3,2,228
21350,Colonia,Conjunto Urbano Esperanza,3390000,3,1,126
21395,Fraccionamiento,Altaria Residencial,3300000,3,3,135
21396,Colonia,González Ortega Norte,2650000,2,2,100
21383,Fraccionamiento,San Andrés,2400000,3,1,87
21396,Colonia,Mexicali,2247000,3,2,91
21307,Fraccionamiento,Villanova,5600000,3,2,220
21255,Fraccionamiento,Residencial Casa Maya,4360000,2,3,130
21383,Fraccionamiento,Privadas Campestre,1950000,2,1,66
21378,Fraccionamiento,Villa del Cedro,3400000,3,1,117
21395,Fraccionamiento,Residencial Natura,2970000,3,2,96
21258,Fraccionamiento,El Lienzo,9990000,3,3,550
21270,Colonia,Santa Rosalía,3549000,3,2,107
21180,Fraccionamiento,Villafontana,11999000,5,3,200
21395,Colonia,Parque Industrial Condesa,2190000,2,1,78
21353,Fraccionamiento,Residencial Madrid,3001157,3,2,105
21355,Colonia,Hacienda del Bosque,560000,3,1,115
21395,Fraccionamiento,Altaria Residencial,5252761,3,2,205
21376,Fraccionamiento,Bosque del Sol,3900000,3,2,115
21378,Fraccionamiento,Villa del Cedro,4310000,3,3,155
21383,Fraccionamiento,Privadas Campestre,2526500,3,2,83
21254,Fraccionamiento,San Pedro Residencial,15180000,4,3,450
21353,Fraccionamiento,Residencial Madrid,3200000,3,1,85
21395,Fraccionamiento,Villa Toledo,2750000,3,1,128
21378,Fraccionamiento,Adara Residencial Segunda Sección,123456,3,3,175
21378,Fraccionamiento,La Toscana Residencial,5500000,3,2,185
21230,Colonia,Justo Sierra,3150000,3,2,159
21395,Fraccionamiento,La Condesa,1616143,3,1,69
21378,Fraccionamiento,Monet Residencial,2910750,3,2,109
21290,Colonia,Ampliación Independencia,600000,3,2,130
21399,Fraccionamiento,Hacienda del Río,2480000,3,2,89
21355,Fraccionamiento,Villa las Lomas,740000,2,1,38
21280,Fraccionamiento,Residencias,3900000,4,2,146
21600,Colonia,Islas Agrarias B,5500000,3,3,175
21399,Fraccionamiento,Nuevo Mexicali,1360000,3,1,110
21399,Fraccionamiento,Hacienda del Río,4600000,2,2,126
21378,Fraccionamiento,Cerrada Quebec,2000000,3,1,200
21379,Fraccionamiento,Villa Bonita,2950000,3,2,122
21040,Fraccionamiento,Calafia,12000000,4,3,301
21399,Fraccionamiento,Hacienda del Río,2580000,3,2,89
21290,Colonia,Ampliación Independencia,635000,3,3,115
21386,Fraccionamiento,El Dorado,1650000,3,2,86
21395,Fraccionamiento,La Condesa,1553984,3,1,69
21379,Fraccionamiento,Villa Bonita,3200000,3,2,122
21378,Fraccionamiento,Cerrada Quebec,3300000,3,2,108
21298,Fraccionamiento,Misión de Santo Domingo,3750000,4,3,180
21395,Fraccionamiento,Villa del Roble,2100000,1,2,98
21376,Colonia,Plutarco Elías Calles,6120000,4,3,221
21379,Fraccionamiento,Villa Bonita,2750000,3,2,120
21254,Fraccionamiento,Residencial San Sebastián,13900000,3,3,315
21270,Colonia,Santa Teresa,6900000,3,2,200
21378,Fraccionamiento,Residencial Sevilla 2da. Sección,1800000,3,1,80
21255,Fraccionamiento,Antares Residencial,7100000,3,2,166
21378,Fraccionamiento,Sevilla,2500000,3,1,96
21396,Colonia,Mexicali,1553984,3,1,70
21383,Colonia,Unión de Residentes Lázaro Cárdenas,3250000,3,3,92
21387,Fraccionamiento,Lago del Sol Residencial,2800000,2,2,70
21378,Colonia,Sombras Jery,1800000,2,1,170
21376,Fraccionamiento,Mayakhan Residencial,3980000,3,2,107
21376,Fraccionamiento,Residencial Segovia,4800000,3,3,200
21700,Colonia,Hidalgo,2100000,2,1,91
21395,Fraccionamiento,La Condesa,1616143,3,1,69
21240,Colonia,Prohogar,5200000,3,3,162
21370,Colonia,Lázaro Cárdenas,4200000,5,2,288
21225,Fraccionamiento,Cerrada del Sol,12500000,4,3,300
21395,Fraccionamiento,Altaria Residencial,5168132,3,2,169
21280,Colonia,Insurgentes Este,4800000,3,2,180
21339,Colonia,Ampliación Jardines del Lago,2671000,3,1,115
21379,Fraccionamiento,Vista del Llano,1325750,3,2,152
21255,Fraccionamiento,Puerta de Hierro,5100000,3,3,227
21240,Colonia,Prohogar,3350000,3,2,113
21010,Fraccionamiento,Residencial Cerrada del Parque,490000,4,3,380
21376,Fraccionamiento,Mayakhan Residencial,9795000,3,3,314
21140,Colonia,Loma Linda,2633490,2,2,91
21389,Colonia,Hidalgo,2300000,5,3,210
21354,Fraccionamiento,Casa Magna,1350000,2,1,56
21354,Fraccionamiento,Villa del Rey Primera Etapa,2995000,3,2,173
21200,Colonia,Cuauhtémoc Sur,4452000,3,3,132
21387,Fraccionamiento,Solidaridad Social,1500000,1,1,120
21255,Fraccionamiento,Balboa Residencial,6400000,3,2,134
21254,Fraccionamiento,Real del Sol,4900000,3,2,176
21254,Fraccionamiento,Real del Sol,5100000,4,3,217
21255,Fraccionamiento,Cumbres Provenza,11138000,3,3,200
21395,Colonia,Parque Industrial del Desierto,1107000,2,1,60
21355,Fraccionamiento,Quinta Granada,1700000,2,1,65
21387,Fraccionamiento,Vista del Valle,470000,2,1,99
21395,Fraccionamiento,La Condesa,1616100,3,1,69
21376,Fraccionamiento,Gran Segovia,3850000,3,2,130
21355,Fraccionamiento,Villa Lomas Altas,410000,3,1,100
21138,Colonia,Valle de los Ángeles,1000000,2,2,200
21376,Fraccionamiento,Rivera Maya Residencial,6990000,3,2,261
21225,Fraccionamiento,Privada Vistahermosa,11000000,3,2,191
21387,Fraccionamiento,Lago del Sol Residencial,1300000,2,1,45
21254,Fraccionamiento,Residencial Coronado,4500000,3,2,135
21255,Fraccionamiento,Cumbres Provenza,8490000,3,2,265
21255,Fraccionamiento,Montecarlo 3ra. Sección,6900000,3,3,165
21395,Colonia,Mexicali II,1950000,3,2,180
21355,Fraccionamiento,Villa Lomas Altas,2345000,2,1,94
21255,Fraccionamiento,Antares Residencial,5700000,3,2,150
21370,Colonia,Lázaro Cárdenas,4500000,3,2,207
21383,Fraccionamiento,Privadas Campestre,3000000,3,2,250
21040,Fraccionamiento,Calafia,3650000,3,2,115
21309,Fraccionamiento,Villas del Real,2200000,2,2,140
21356,Colonia,Villa del Sol INFONAVIT,1900000,3,1,75
21376,Fraccionamiento,Gran Segovia,5300000,2,1,147
21379,Fraccionamiento,Los Prados,981992,3,2,200
21255,Fraccionamiento,Residencial Puerta de Alcalá,4500000,3,2,125
21350,Colonia,Conjunto Urbano Esperanza,2400000,3,2,125
21378,Fraccionamiento,Adara Residencial,3850000,2,2,134
21226,Fraccionamiento,Duara Residencial,11700000,3,2,169
21339,Fraccionamiento,Santa Mónica,2600000,2,1,60
21250,Colonia,Constitución,650000,3,2,115
21038,Fraccionamiento,FOVISSSTE,900000,2,1,140
21395,Fraccionamiento,Altaria Residencial,4310229,3,3,186
21396,Colonia,Mexicali,2695000,3,2,82
21250,Fraccionamiento,Residencial el Lienzo,9990000,3,3,550
21339,Fraccionamiento,Santa Mónica,2850000,4,3,180
21020,Colonia,Burócrata,5000000,3,2,168
21240,Fraccionamiento,Vista Hermosa,7350000,4,2,300
21395,Fraccionamiento,Quinta Alcázar de Toledo,3950000,2,1,100
21257,Fraccionamiento,Misión de Loreto,3200000,2,1,91
21226,Fraccionamiento,Aurea Residencial,11350000,3,2,200
21355,Fraccionamiento,Quinta Roma (Quinta Córdova),4990000,3,3,165
21600,Colonia,Cauces Federales,5300000,4,2,206
21140,Colonia,Loma Linda,2633490,2,2,98
21376,Fraccionamiento,Bosque del Sol,3595000,3,2,123
21378,Colonia,Sombras Jery,5500000,3,2,203
21255,Fraccionamiento,Antares Residencial,5750000,3,2,118
21255,Fraccionamiento,Antares Residencial,6250000,3,2,118
21376,Fraccionamiento,Misión del Valle,6113618,3,2,169
21079,Fraccionamiento,Los Arcos,7500000,4,4,229
21740,Colonia,Independencia,2900000,2,1,120
21100,Colonia,Nueva,4000000,3,2,190
21355,Fraccionamiento,Quinta Roma (Quinta Córdova),3900000,3,2,142
21399,Fraccionamiento,Hacienda del Río,2150000,2,1,135
21165,Fraccionamiento,Popular Nacionalistas,1400000,2,1,123
21354,Fraccionamiento,Gran Hacienda,2545000,4,1,118
21240,Colonia,Prohogar,880000,4,3,224
21378,Fraccionamiento,La Toscana Residencial,7900000,5,3,342
21399,Fraccionamiento,Hacienda del Río,1996000,2,1,64
21200,Colonia,Cuauhtémoc Norte,7900000,4,4,313
21399,Fraccionamiento,Hacienda del Río,3350000,4,2,252
21378,Colonia,Sombras Jery,5100000,3,2,192
21040,Fraccionamiento,Calafia,10900000,4,3,301
21255,Fraccionamiento,Villas San Ángel,6699000,3,2,200
21250,Colonia,Roma,3350000,3,2,120
21210,Colonia,Alamitos,4300000,3,2,135
21396,Fraccionamiento,Mirasol,2850000,3,2,130
21379,Fraccionamiento,Santa Lucia,3200000,3,2,122
21355,Fraccionamiento,Villa las Lomas,566000,2,1,60
21190,Colonia,Granjas Virreyes,2556160,2,2,71
21040,Fraccionamiento,Calafia,3200000,2,2,120
21395,Fraccionamiento,Villa Florida,1182545,3,2,130
21353,Fraccionamiento,Gran Venecia,3980000,3,3,140
21137,Fraccionamiento,San Miguel,2970000,2,2,96
21354,Fraccionamiento,Villa del Rey Segunda Etapa,1400000,2,1,50
